Geracao;FitnessMelhor;FitnessMedia;DistanciaMelhor;Venceu
380;1762.00;1168.62;1547;False
381;1762.00;1164.43;1547;False
382;1762.00;1127.75;1547;False
383;1762.00;1115.80;1547;False
384;1762.00;1122.32;1547;False
385;1762.00;1111.93;1547;False
386;1762.00;1199.37;1547;False
387;1762.00;1188.83;1547;False
388;1762.00;1165.42;1547;False
389;1762.00;1167.02;1547;False
390;1762.00;1213.00;1547;False
391;1762.00;1147.43;1547;False
392;1762.00;1211.43;1547;False
393;1762.00;1090.77;1547;False
394;1762.00;1147.78;1547;False
395;1762.00;1193.70;1547;False
396;1762.00;1160.83;1547;False
397;1762.00;1170.85;1547;False
398;1762.00;1209.40;1547;False
399;1762.00;1171.23;1547;False
400;1762.00;1171.05;1547;False
401;1762.00;1203.40;1547;False
402;1762.00;1169.85;1547;False
403;1762.00;1157.10;1547;False
404;1762.00;1161.10;1547;False
405;1762.00;1194.20;1547;False
406;1762.00;1071.47;1547;False
407;1762.00;1158.32;1547;False
408;1762.00;1141.35;1547;False
409;1762.00;1129.25;1547;False
410;1762.00;1179.35;1547;False
411;1762.00;1206.08;1547;False
412;1762.00;1153.48;1547;False
413;1762.00;1121.28;1547;False
414;1762.00;1209.17;1547;False
415;1762.00;1102.07;1547;False
416;1762.00;1150.85;1547;False
417;1762.00;1214.18;1547;False
418;1762.00;1181.55;1547;False
419;1762.00;1190.28;1547;False
420;1762.00;1168.28;1547;False
421;1762.00;1042.17;1547;False
422;1762.00;1115.23;1547;False
423;1762.00;1224.08;1547;False
424;1762.00;1124.68;1547;False
425;1762.00;1105.85;1547;False
426;1762.00;1175.48;1547;False
427;1762.00;1150.92;1547;False
428;1762.00;1159.33;1547;False
429;1762.00;1086.95;1547;False
430;1762.00;1064.35;1547;False
431;1762.00;1136.45;1547;False
432;1762.00;1123.60;1547;False
433;1762.00;1133.20;1547;False
434;1762.00;1114.98;1547;False
435;1762.00;1182.47;1547;False
436;1762.00;1122.68;1547;False
437;1762.00;1182.98;1547;False
438;1762.00;1224.62;1547;False
439;1762.00;1111.07;1547;False
440;1762.00;1186.13;1547;False
441;1762.00;1170.75;1547;False
442;1762.00;1179.48;1547;False
443;1762.00;1154.42;1547;False
444;1762.00;1167.40;1547;False
445;1762.00;1181.27;1547;False
446;1762.00;1160.82;1547;False
447;1762.00;1112.43;1547;False
448;1762.00;1141.35;1547;False
449;1762.00;1129.62;1547;False
450;1762.00;1158.88;1547;False
451;1762.00;1133.33;1547;False
452;1762.00;1138.92;1547;False
453;1762.00;1162.92;1547;False
454;1762.00;1133.82;1547;False
455;1762.00;1161.80;1547;False
456;1762.00;1159.70;1547;False
457;1762.00;1160.15;1547;False
458;1762.00;1108.58;1547;False
459;1762.00;1202.45;1547;False
460;1762.00;1146.70;1547;False
461;1762.00;1135.52;1547;False
462;1762.00;1183.40;1547;False
463;1762.00;1140.88;1547;False
464;1762.00;1212.58;1547;False
465;1762.00;1205.22;1547;False
466;1762.00;1148.12;1547;False
467;1762.00;1156.97;1547;False
468;1762.00;1128.02;1547;False
469;1762.00;1143.83;1547;False
470;1762.00;1132.00;1547;False
471;1762.00;1141.30;1547;False
472;1762.00;1092.83;1547;False
473;1762.00;1146.57;1547;False
474;1762.00;1181.00;1547;False
475;1762.00;1104.47;1547;False
476;1762.00;1169.00;1547;False
477;1762.00;1129.42;1547;False
478;1762.00;1110.38;1547;False
479;1762.00;1204.52;1547;False
480;1762.00;1165.25;1547;False
481;1762.00;1149.63;1547;False
482;1762.00;1122.17;1547;False
483;1762.00;1269.93;1547;False
484;1762.00;1116.38;1547;False
485;1762.00;1151.25;1547;False
486;1762.00;1173.22;1547;False
487;1762.00;1125.45;1547;False
488;1762.00;1170.10;1547;False
489;1762.00;1181.08;1547;False
490;1762.00;1149.18;1547;False
491;1762.00;1164.12;1547;False
492;1762.00;1125.60;1547;False
493;1762.00;1140.60;1547;False
494;1762.00;1181.57;1547;False
495;1762.00;1192.92;1547;False
496;1762.00;1156.48;1547;False
497;1762.00;1178.27;1547;False
498;1762.00;1211.82;1547;False
499;1762.00;1100.35;1547;False
500;1762.00;1163.95;1547;False
501;1762.00;1246.68;1547;False
502;1762.00;1087.90;1547;False
503;1762.00;1205.72;1547;False
504;1762.00;1157.90;1547;False
505;1762.00;1123.93;1547;False
506;1762.00;1241.10;1547;False
507;1762.00;1144.72;1547;False
508;1762.00;1164.10;1547;False
509;1762.00;1168.07;1547;False
510;1762.00;1160.88;1547;False
511;1762.00;1137.33;1547;False
512;1762.00;1220.45;1547;False
513;1762.00;1168.37;1547;False
514;1762.00;1134.08;1547;False
515;1762.00;1185.05;1547;False
516;1762.00;1141.08;1547;False
517;1762.00;1111.93;1547;False
518;1762.00;1095.45;1547;False
519;1762.00;1242.87;1547;False
520;1762.00;1143.43;1547;False
521;1762.00;1180.27;1547;False
522;1762.00;1193.32;1547;False
523;1762.00;1142.22;1547;False
524;1762.00;1203.92;1547;False
525;1762.00;1140.18;1547;False
526;1762.00;1124.73;1547;False
527;1762.00;1181.57;1547;False
528;1762.00;1203.52;1547;False
529;1762.00;1121.68;1547;False
530;1762.00;1185.18;1547;False
531;1762.00;1117.47;1547;False
532;1762.00;1167.63;1547;False
533;1762.00;1118.32;1547;False
534;1762.00;1175.80;1547;False
535;1762.00;1189.78;1547;False
536;1762.00;1172.57;1547;False
537;1762.00;1196.08;1547;False
538;1762.00;1104.45;1547;False
539;1762.00;1226.62;1547;False
540;1762.00;1170.82;1547;False
541;1762.00;1104.73;1547;False
542;1762.00;1162.52;1547;False
543;1762.00;1163.68;1547;False
544;1762.00;1068.15;1547;False
545;1762.00;1089.37;1547;False
546;1762.00;1119.05;1547;False
547;1762.00;1106.13;1547;False
548;1762.00;1187.75;1547;False
549;1762.00;1208.15;1547;False
550;1762.00;1055.00;1547;False
551;1762.00;1198.05;1547;False
552;1762.00;1129.75;1547;False
553;1762.00;1087.28;1547;False
554;1762.00;1152.02;1547;False
555;1762.00;1189.72;1547;False
556;1762.00;1138.12;1547;False
557;1762.00;1189.32;1547;False
558;1762.00;1139.80;1547;False
559;1762.00;1143.10;1547;False
560;1762.00;1076.03;1547;False
561;1762.00;1156.73;1547;False
562;1762.00;1121.80;1547;False
563;1762.00;1107.32;1547;False
564;1762.00;1165.55;1547;False
565;1762.00;1101.68;1547;False
566;1762.00;1146.47;1547;False
567;1762.00;1153.70;1547;False
568;1762.00;1140.53;1547;False
569;1762.00;1186.82;1547;False
570;1762.00;1192.23;1547;False
571;1762.00;1072.40;1547;False
572;1762.00;1166.37;1547;False
573;1762.00;1216.27;1547;False
574;1762.00;1190.48;1547;False
575;1762.00;1205.22;1547;False
576;1762.00;1196.32;1547;False
577;1762.00;1144.53;1547;False
578;1762.00;1195.98;1547;False
579;1762.00;1084.60;1547;False
580;1762.00;1135.50;1547;False
581;1762.00;1196.18;1547;False
582;1762.00;1161.23;1547;False
583;1762.00;1096.45;1547;False
584;1762.00;1230.00;1547;False
585;1762.00;1188.23;1547;False
586;1762.00;1098.82;1547;False
587;1762.00;1234.93;1547;False
588;1762.00;1135.53;1547;False
589;1762.00;1138.42;1547;False
590;1762.00;1208.98;1547;False
591;1762.00;1213.45;1547;False
592;1762.00;1145.17;1547;False
593;1762.00;1136.57;1547;False
594;1762.00;1163.58;1547;False
595;1762.00;1125.93;1547;False
596;1762.00;1088.27;1547;False
597;1762.00;1183.50;1547;False
598;1762.00;1154.45;1547;False
599;1762.00;1184.87;1547;False
600;1762.00;1185.43;1547;False
601;1762.00;1150.93;1547;False
602;1762.00;1199.33;1547;False
603;1762.00;1100.42;1547;False
604;1762.00;1119.80;1547;False
605;1762.00;1133.10;1547;False
606;1762.00;1147.87;1547;False
607;1762.00;1132.53;1547;False
608;1762.00;1128.25;1547;False
609;1762.00;1136.85;1547;False
610;1762.00;1157.88;1547;False
611;1762.00;1211.42;1547;False
612;1762.00;1218.93;1547;False
613;1762.00;1092.00;1547;False
614;1762.00;1135.27;1547;False
615;1762.00;1209.28;1547;False
616;1762.00;1192.05;1547;False
617;1762.00;1208.60;1547;False
618;1762.00;1171.57;1547;False
619;1762.00;1127.42;1547;False
620;1762.00;1158.47;1547;False
621;1762.00;1193.32;1547;False
622;1762.00;1106.23;1547;False
623;1762.00;1206.70;1547;False
624;1762.00;1143.12;1547;False
625;1762.00;1091.03;1547;False
626;1762.00;1178.40;1547;False
627;1762.00;1180.73;1547;False
628;1762.00;1121.20;1547;False
629;1762.00;1135.35;1547;False
630;1762.00;1119.75;1547;False
631;1762.00;1141.03;1547;False
632;1762.00;1158.12;1547;False
633;1762.00;1177.08;1547;False
634;1762.00;1123.07;1547;False
635;1762.00;1138.72;1547;False
636;1762.00;1178.15;1547;False
637;1762.00;1127.07;1547;False
638;1762.00;1190.17;1547;False
639;1762.00;1191.92;1547;False
640;1762.00;1145.68;1547;False
641;1762.00;1221.28;1547;False
642;1762.00;1185.32;1547;False
643;1762.00;1095.22;1547;False
644;1837.00;1219.53;1627;False
645;1837.00;1235.88;1627;False
646;1837.00;1204.78;1627;False
647;1837.00;1156.28;1627;False
648;1837.00;1191.82;1627;False
649;1837.00;1123.03;1627;False
650;1837.00;1250.10;1627;False
651;1837.00;1133.22;1627;False
652;1837.00;1203.08;1627;False
653;1837.00;1233.80;1627;False
654;1837.00;1153.58;1627;False
655;1837.00;1158.40;1627;False
656;1837.00;1138.70;1627;False
657;1837.00;1153.42;1627;False
658;1837.00;1199.85;1627;False
659;1837.00;1165.73;1627;False
660;1837.00;1129.60;1627;False
661;1837.00;1153.88;1627;False
